breed;size;exercise;size_home;grooming;coat_length;sheeds;life_time;vulnerable_breed;town_country;garden_size;BREED_CATEGORY;BREED_CATEGORY_DESCRIPTION;BREED_ISSUES
Bernese Mountain Dog;Large;Up to 1 hour per day;Large house;More than once a week;Medium;Yes;Under 10 years;Yes;Either;Large garden;WORKING;Over the centuries these dogs were selectively bred to become guards and search and rescue dogs. Arguably, the working group consists of some of the most heroic canines in the world, aiding humans in many walks of life, including the Boxer, Great Dane and St. Bernard. This group consists of the real specialists in their field who excel in their line of work.;Bernese Mountain Dogs are known for their gentle temperament and striking appearance   but they are also prone to several serious health concerns. Hip dysplasia is common in the breed and can lead to joint pain and reduced mobility   particularly as they age. They are also at risk for gastric dilatation-volvulus (GDV)   or bloat?a life-threatening condition where the stomach twists and requires immediate emergency care. Unfortunately   Bernese Mountain Dogs have a higher incidence of certain cancers   including histiocytic sarcoma   which can significantly impact their lifespan. Additionally   they may develop dilated cardiomyopathy (DCM)   a condition that affects the heart?s ability to pump blood effectively.
Bichon Frise;Small;Up to 30 minutes per day;Flat/ Apartment;Every day;Medium;No;Over 12 years;Yes;Either;Small/ medium garden;TOY;The Toy breeds are small companion or lap dogs. Many of the Toy breeds were bred for this capacity although some have been placed into this category simply due to their size. They should have friendly personalities and love attention. They do not need a large amount of exercise and some can be finicky eaters.;Bichon Frises are cheerful and friendly companions   but they can be prone to a few health issues that benefit from regular monitoring. Luxating patellas are relatively common in the breed and can lead to occasional limping or difficulty walking if not managed properly. Bichons are also prone to skin conditions   including allergies and sensitivities   which may cause itching   redness   or infections and often require special grooming or dietary adjustments. Eye issues such as cataracts can develop with age   potentially leading to vision problems or blindness if untreated. Additionally   diabetes can occur in some Bichon Frises   requiring careful management with diet   insulin   and routine monitoring.
Black & Tan Coonhound (Imp);Large;Up to 1 hour per day;Large house;Once a week;Short;Yes;Over 10 years;No;Country;Large garden;HOUND;Breeds originally used for hunting either by scent or by sight. The scent hounds include the Beagle and Bloodhound and the sight hounds such breeds as the Whippet and Greyhound. Many of them enjoy a significant amount of exercise and can be described as dignified, aloof but trustworthy companions.;
Bloodhound;Large;More than 2 hours per day;Large house;Once a week;Short;Yes;Under 10 years;No;Country;Large garden;HOUND;Breeds originally used for hunting either by scent or by sight. The scent hounds include the Beagle and Bloodhound and the sight hounds such breeds as the Whippet and Greyhound. Many of them enjoy a significant amount of exercise and can be described as dignified, aloof but trustworthy companions.;
Bolognese;Small;Up to 30 minutes per day;Flat/ Apartment;Every day;Long;No;Over 12 years;No;Either;Small/ medium garden;TOY;The Toy breeds are small companion or lap dogs. Many of the Toy breeds were bred for this capacity although some have been placed into this category simply due to their size. They should have friendly personalities and love attention. They do not need a large amount of exercise and some can be finicky eaters.;
Border Collie;Medium;More than 2 hours per day;Small house;More than once a week;Medium;Yes;Over 12 years;Yes;Either;Large garden;PASTORAL;The Pastoral Group consists of herding dogs that are associated with working cattle, sheep, reindeer and other cloven footed animals.;Border Collies are known for their intelligence   agility   and energy   but like all breeds   they can be prone to certain health conditions. Hip dysplasia is one concern   which can lead to joint pain and reduced mobility as they age. They are also at risk for Collie Eye Anomaly   a genetic condition that can affect the development of the eye and   in severe cases   may lead to vision impairment or blindness. Epilepsy is another condition that can occur in Border Collies   leading to recurring seizures that require lifelong management. Additionally   some Border Collies may develop hypothyroidism   a hormonal imbalance that can cause weight gain   lethargy   and skin issues.
Border Terrier;Small;Up to 1 hour per day;Flat/ Apartment;More than once a week;Short;Yes;Over 12 years;Yes;Either;Small/ medium garden;TERRIER;Dogs originally bred and used for hunting vermin. 'Terrier' comes from the Latin word Terra, meaning earth. This hardy collection of dogs were selectively bred to be extremely brave and tough, and to pursue fox, badger, rat and otter (to name but a few) above and below ground. Dogs of terrier type have been known here since ancient times, and as early as the Middle Ages, these game breeds were portrayed by writers and painters.;Border Terriers are generally a hardy and spirited breed   but they can be prone to a few specific health conditions. One notable concern is Canine Epileptoid Cramping Syndrome   also known as ?Spike?s Disease  ? a neurological disorder unique to the breed that can cause episodes of cramping   tremors   and discomfort. Border Terriers are also susceptible to luxating patella   a condition where the kneecap slips out of place   potentially affecting their mobility. Eye conditions like cataracts may develop with age   sometimes leading to vision impairment. Additionally   some Border Terriers may experience epilepsy   which involves recurring seizures that often require lifelong management.
Borzoi;Large;Up to 1 hour per day;Large house;More than once a week;Medium;Yes;Over 10 years;No;Country;Large garden;HOUND;Breeds originally used for hunting either by scent or by sight. The scent hounds include the Beagle and Bloodhound and the sight hounds such breeds as the Whippet and Greyhound. Many of them enjoy a significant amount of exercise and can be described as dignified, aloof but trustworthy companions.;
Boston Terrier;Small;Up to 1 hour per day;Flat/ Apartment;Once a week;Short;Yes;Over 10 years;Yes;Either;Small/ medium garden;UTILITY;This group consists of miscellaneous breeds of dog mainly of a non-sporting origin, including the Bulldog, Dalmatian, Akita and Poodle. The name ‘Utility’ essentially means fitness for a purpose and this group consists of an extremely mixed and varied bunch, most breeds having been selectively bred to perform a specific function not included in the sporting and working categories. Some of the breeds listed in the group are the oldest documented breeds of dog in the world.;Boston Terriers are affectionate and lively dogs   but they can be prone to a few breed-specific health issues. As a brachycephalic breed   they often experience brachycephalic airway syndrome   which can cause breathing difficulties   especially in hot weather or during exercise. Luxating patellas are also common in Boston Terriers and may lead to intermittent lameness or discomfort when walking. Another condition seen in the breed is cherry eye   where the gland in the third eyelid becomes inflamed and protrudes   often requiring surgical correction. Additionally   some Boston Terriers may be affected by early onset deafness   which can occur in one or both ears.
Bouvier Des Flandres;Large;Up to 1 hour per day;Large house;Every day;Medium;No;Over 10 years;No;Either;Large garden;WORKING;Over the centuries these dogs were selectively bred to become guards and search and rescue dogs. Arguably, the working group consists of some of the most heroic canines in the world, aiding humans in many walks of life, including the Boxer, Great Dane and St. Bernard. This group consists of the real specialists in their field who excel in their line of work.;
Boxer;Large;More than 2 hours per day;Large house;Once a week;Short;Yes;Over 10 years;Yes;Either;Large garden;WORKING;Over the centuries these dogs were selectively bred to become guards and search and rescue dogs. Arguably, the working group consists of some of the most heroic canines in the world, aiding humans in many walks of life, including the Boxer, Great Dane and St. Bernard. This group consists of the real specialists in their field who excel in their line of work.;Boxers are generally healthy   but the breed is known to be prone to several serious health conditions. Cancer is a major concern in Boxers   with types like lymphoma and mast cell tumors being relatively common. They are also at risk for heart conditions   particularly cardiomyopathy   which affects the heart muscle and can lead to irregular heart rhythms or heart failure. Like many larger breeds   Boxers can develop hip dysplasia   a joint issue that may cause pain and mobility problems. Another potentially life-threatening condition seen in Boxers is bloat (gastric dilatation-volvulus)   where the stomach fills with gas and twists   requiring emergency treatment.
Bracco Italiano;Large;More than 2 hours per day;Large house;Once a week;Short;Yes;Under 10 years;No;Country;Large garden;GUNDOG;Dogs that were originally trained to find live game and/or to retrieve game that had been shot and wounded. This group is divided into four categories - Retrievers, Spaniels, Hunt/Point/Retrieve, Pointers and Setters - although many of the breeds are capable of doing the same work as the other sub-groups. They make good companions, their temperament making them ideal all-round family dogs.;
Braque D’Auvergne (Imp);Large;More than 2 hours per day;Large house;Once a week;Short;Yes;Over 10 years;No;Country;Large garden;GUNDOG;Dogs that were originally trained to find live game and/or to retrieve game that had been shot and wounded. This group is divided into four categories - Retrievers, Spaniels, Hunt/Point/Retrieve, Pointers and Setters - although many of the breeds are capable of doing the same work as the other sub-groups. They make good companions, their temperament making them ideal all-round family dogs.;
Briard;Large;More than 2 hours per day;Large house;Every day;Long;Yes;Over 10 years;No;Either;Large garden;PASTORAL;The Pastoral Group consists of herding dogs that are associated with working cattle, sheep, reindeer and other cloven footed animals.;
Brittany;Medium;More than 2 hours per day;Small house;More than once a week;Medium;Yes;Over 10 years;No;Country;Large garden;GUNDOG;Dogs that were originally trained to find live game and/or to retrieve game that had been shot and wounded. This group is divided into four categories - Retrievers, Spaniels, Hunt/Point/Retrieve, Pointers and Setters - although many of the breeds are capable of doing the same work as the other sub-groups. They make good companions, their temperament making them ideal all-round family dogs.;
Bull Terrier;Medium;Up to 1 hour per day;Small house;Once a week;Short;Yes;Over 10 years;No;Either;Small/ medium garden;TERRIER;Dogs originally bred and used for hunting vermin. 'Terrier' comes from the Latin word Terra, meaning earth. This hardy collection of dogs were selectively bred to be extremely brave and tough, and to pursue fox, badger, rat and otter (to name but a few) above and below ground. Dogs of terrier type have been known here since ancient times, and as early as the Middle Ages, these game breeds were portrayed by writers and painters;
Bull Terrier (Miniature);Small;Up to 1 hour per day;Small house;Once a week;Short;Yes;Over 10 years;No;Either;Small/ medium garden;TERRIER;Dogs originally bred and used for hunting vermin. 'Terrier' comes from the Latin word Terra, meaning earth. This hardy collection of dogs were selectively bred to be extremely brave and tough, and to pursue fox, badger, rat and otter (to name but a few) above and below ground. Dogs of terrier type have been known here since ancient times, and as early as the Middle Ages, these game breeds were portrayed by writers and painters;
Bulldog;Medium;Up to 1 hour per day;Small house;Once a week;Short;Yes;Under 10 years;Yes;Either;Small/ medium garden;UTILITY;This group consists of miscellaneous breeds of dog mainly of a non-sporting origin, including the Bulldog, Dalmatian, Akita and Poodle. The name ‘Utility’ essentially means fitness for a purpose and this group consists of an extremely mixed and varied bunch, most breeds having been selectively bred to perform a specific function not included in the sporting and working categories. Some of the breeds listed in the group are the oldest documented breeds of dog in the world.;Some Bulldogs are generally very healthy   but they are known as an ?unhealthy breed?. This is because they are prone to develop conditions such as respiratory issues (brachycephalic airway syndrome) due to the way their skull is formed. They are stocky dogs so they can develop joint issues like hip and elbow dysplasia and may be more likely to develop skin problems due to the skin folds on their face. Some bulldogs also develop eye problems like Cherry Eye   which is when the third eyelid gland protrudes between the eyeball and the lower eyelid.
Bullmastiff;Large;More than 2 hours per day;Large house;Once a week;Short;Yes;Under 10 years;No;Either;Large garden;WORKING;Over the centuries these dogs were selectively bred to become guards and search and rescue dogs. Arguably, the working group consists of some of the most heroic canines in the world, aiding humans in many walks of life, including the Boxer, Great Dane and St. Bernard. This group consists of the real specialists in their field who excel in their line of work.;
Cairn Terrier;Small;Up to 1 hour per day;Flat/ Apartment;More than once a week;Medium;Yes;Over 10 years;No;Either;Small/ medium garden;TERRIER;Dogs originally bred and used for hunting vermin. 'Terrier' comes from the Latin word Terra, meaning earth. This hardy collection of dogs were selectively bred to be extremely brave and tough, and to pursue fox, badger, rat and otter (to name but a few) above and below ground. Dogs of terrier type have been known here since ancient times, and as early as the Middle Ages, these game breeds were portrayed by writers and painters.;
Canaan Dog;Medium;Up to 1 hour per day;Large house;Once a week;Short;Yes;Over 12 years;No;Either;Small/ medium garden;UTILITY;This group consists of miscellaneous breeds of dog mainly of a non-sporting origin, including the Bulldog, Dalmatian, Akita and Poodle. The name ‘Utility’ essentially means fitness for a purpose and this group consists of an extremely mixed and varied bunch, most breeds having been selectively bred to perform a specific function not included in the sporting and working categories. Some of the breeds listed in the group are the oldest documented breeds of dog in the world.;
Canadian Eskimo Dog;Medium;More than 2 hours per day;Large house;Once a week;Short;Yes;Over 10 years;No;Country;Large garden;WORKING;Over the centuries these dogs were selectively bred to become guards and search and rescue dogs. Arguably, the working group consists of some of the most heroic canines in the world, aiding humans in many walks of life, including the Boxer, Great Dane and St. Bernard. This group consists of the real specialists in their field who excel in their line of work.;
Catalan Sheepdog;Medium;Up to 1 hour per day;Small house;Once a week;Medium;No;Over 10 years;No;Either;Small/ medium garden;PASTORAL;The Pastoral Group consists of herding dogs that are associated with working cattle, sheep, reindeer and other cloven footed animals.;
Cavalier King Charles Spaniel;Small;Up to 1 hour per day;Flat/ Apartment;More than once a week;Medium;Yes;Over 12 years;Yes;Either;Small/ medium garden;TOY;The Toy breeds are small companion or lap dogs. Many of the Toy breeds were bred for this capacity although some have been placed into this category simply due to their size. They should have friendly personalities and love attention. They do not need a large amount of exercise and some can be finicky eaters.;Cavalier King Charles Spaniels are affectionate and gentle companions   but they are prone to several health issues that owners should be aware of. One of the most common concerns in the breed is mitral valve disease   a heart condition that can lead to heart murmurs and   over time   heart failure if not managed properly. They are also susceptible to various eye problems   including cataracts and retinal disorders   which may affect their vision as they age. Syringomyelia   a serious neurological condition caused by fluid-filled cavities in the spinal cord   can lead to pain and sensitivity   particularly around the neck and head. Additionally   their long   floppy ears make them prone to ear infections   which can become chronic if not routinely cleaned and monitored.
Cesky Terrier;Small;Up to 1 hour per day;Small house;More than once a week;Medium;Yes;Over 12 years;No;Either;Small/ medium garden;TERRIER;Dogs originally bred and used for hunting vermin. 'Terrier' comes from the Latin word Terra, meaning earth. This hardy collection of dogs were selectively bred to be extremely brave and tough, and to pursue fox, badger, rat and otter (to name but a few) above and below ground. Dogs of terrier type have been known here since ancient times, and as early as the Middle Ages, these game breeds were portrayed by writers and painters.;
Chihuahua (Long Coat);Small;Up to 30 minutes per day;Flat/ Apartment;Once a week;Medium;Yes;Over 12 years;No;Either;Small/ medium garden;TOY;The Toy breeds are small companion or lap dogs. Many of the Toy breeds were bred for this capacity although some have been placed into this category simply due to their size. They should have friendly personalities and love attention. They do not need a large amount of exercise and some can be finicky eaters.;
Chihuahua (Smooth Coat);Small;Up to 30 minutes per day;Flat/ Apartment;Once a week;Short;Yes;Over 12 years;No;Either;Small/ medium garden;TOY;The Toy breeds are small companion or lap dogs. Many of the Toy breeds were bred for this capacity although some have been placed into this category simply due to their size. They should have friendly personalities and love attention. They do not need a large amount of exercise and some can be finicky eaters.;
Chinese Crested;Small;Up to 30 minutes per day;Flat/ Apartment;Once a week;Short;Yes;Over 12 years;No;Either;Small/ medium garden;TOY;The Toy breeds are small companion or lap dogs. Many of the Toy breeds were bred for this capacity although some have been placed into this category simply due to their size. They should have friendly personalities and love attention. They do not need a large amount of exercise and some can be finicky eaters.;
Chow Chow;Medium;Up to 1 hour per day;Large house;Every day;Medium;Yes;Under 10 years;No;Country;Small/ medium garden;UTILITY;This group consists of miscellaneous breeds of dog mainly of a non-sporting origin, including the Bulldog, Dalmatian, Akita and Poodle. The name ‘Utility’ essentially means fitness for a purpose and this group consists of an extremely mixed and varied bunch, most breeds having been selectively bred to perform a specific function not included in the sporting and working categories. Some of the breeds listed in the group are the oldest documented breeds of dog in the world.;
Cirneco Dell'Etna;Medium;Up to 1 hour per day;Small house;Once a week;Short;Yes;Over 10 years;No;Either;Small/ medium garden;HOUND;Breeds originally used for hunting either by scent or by sight. The scent hounds include the Beagle and Bloodhound and the sight hounds such breeds as the Whippet and Greyhound. Many of them enjoy a significant amount of exercise and can be described as dignified, aloof but trustworthy companions.;
Collie (Rough);Large;Up to 1 hour per day;Small house;Every day;Medium;Yes;Over 12 years;No;Either;Large garden;PASTORAL;The Pastoral Group consists of herding dogs that are associated with working cattle, sheep, reindeer and other cloven footed animals.;
Collie (Smooth);Large;Up to 1 hour per day;Small house;Once a week;Short;Yes;Over 10 years;No;Either;Large garden;PASTORAL;The Pastoral Group consists of herding dogs that are associated with working cattle, sheep, reindeer and other cloven footed animals.;
Coton De Tulear;Small;Up to 30 minutes per day;Flat/ Apartment;Every day;Long;No;Over 12 years;No;Either;Small/ medium garden;TOY;The Toy breeds are small companion or lap dogs. Many of the Toy breeds were bred for this capacity although some have been placed into this category simply due to their size. They should have friendly personalities and love attention. They do not need a large amount of exercise and some can be finicky eaters.;
Dachshund (Long Haired);Medium;Up to 1 hour per day;Small house;More than once a week;Medium;Yes;Over 12 years;No;Either;Small/ medium garden;HOUND;Breeds originally used for hunting either by scent or by sight. The scent hounds include the Beagle and Bloodhound and the sight hounds such breeds as the Whippet and Greyhound. Many of them enjoy a significant amount of exercise and can be described as dignified, aloof but trustworthy companions.;
Dachshund (Miniature Long Haired);Small;Up to 1 hour per day;Small house;More than once a week;Medium;Yes;Over 12 years;No;Either;Small/ medium garden;HOUND;Breeds originally used for hunting either by scent or by sight. The scent hounds include the Beagle and Bloodhound and the sight hounds such breeds as the Whippet and Greyhound. Many of them enjoy a significant amount of exercise and can be described as dignified, aloof but trustworthy companions.;
Dachshund (Miniature Smooth Haired);Small;Up to 1 hour per day;Small house;Once a week;Short;Yes;Over 12 years;No;Either;Small/ medium garden;HOUND;Breeds originally used for hunting either by scent or by sight. The scent hounds include the Beagle and Bloodhound and the sight hounds such breeds as the Whippet and Greyhound. Many of them enjoy a significant amount of exercise and can be described as dignified, aloof but trustworthy companions.;
Dachshund (Miniature Wire Haired);Small;Up to 1 hour per day;Small house;More than once a week;Medium;Yes;Over 12 years;No;Either;Small/ medium garden;HOUND;Breeds originally used for hunting either by scent or by sight. The scent hounds include the Beagle and Bloodhound and the sight hounds such breeds as the Whippet and Greyhound. Many of them enjoy a significant amount of exercise and can be described as dignified, aloof but trustworthy companions.;
Dachshund (Smooth Haired);Medium;Up to 1 hour per day;Small house;Once a week;Short;Yes;Over 12 years;No;Either;Small/ medium garden;HOUND;Breeds originally used for hunting either by scent or by sight. The scent hounds include the Beagle and Bloodhound and the sight hounds such breeds as the Whippet and Greyhound. Many of them enjoy a significant amount of exercise and can be described as dignified, aloof but trustworthy companions.;
Dachshund (Wire Haired);Medium;Up to 1 hour per day;Small house;More than once a week;Medium;Yes;Over 12 years;No;Either;Small/ medium garden;HOUND;Breeds originally used for hunting either by scent or by sight. The scent hounds include the Beagle and Bloodhound and the sight hounds such breeds as the Whippet and Greyhound. Many of them enjoy a significant amount of exercise and can be described as dignified, aloof but trustworthy companions.;
Dalmatian;Large;More than 2 hours per day;Large house;Once a week;Short;Yes;Over 12 years;Yes;Either;Large garden;UTILITY;This group consists of miscellaneous breeds of dog mainly of a non-sporting origin, including the Bulldog, Dalmatian, Akita and Poodle. The name ‘Utility’ essentially means fitness for a purpose and this group consists of an extremely mixed and varied bunch, most breeds having been selectively bred to perform a specific function not included in the sporting and working categories. Some of the breeds listed in the group are the oldest documented breeds of dog in the world.;Dalmatians are a distinctive and energetic breed   but they are prone to a few breed-specific health concerns. One of the most common issues is bladder stones   which can develop due to a genetic tendency to process uric acid differently   making proper hydration and diet especially important. Deafness is also relatively common in Dalmatians   with some dogs being born completely or partially deaf. Another potential concern is copper-related liver disease   where excess copper accumulates in the liver and can lead to serious health problems if not monitored and managed. Additionally   some Dalmatians may experience epilepsy   which causes recurring seizures that typically require lifelong treatment.
Dandie Dinmont Terrier;Small;Up to 1 hour per day;Small house;More than once a week;Medium;No;Over 12 years;No;Either;Small/ medium garden;TERRIER;Dogs originally bred and used for hunting vermin. 'Terrier' comes from the Latin word Terra, meaning earth. This hardy collection of dogs were selectively bred to be extremely brave and tough, and to pursue fox, badger, rat and otter (to name but a few) above and below ground. Dogs of terrier type have been known here since ancient times, and as early as the Middle Ages, these game breeds were portrayed by writers and painters.;
