"DOG_NAME","breed","age","gender","description","shelter_address","shelter_name"
Bumi,Kangal Mix,"8 years",Male,"Our big, fluffy Kangal, Bumi, has had some ups and downs in his life. Born in an animal shelter and unfortunately raised in a deprived youth, his start was extremely difficult. Fortunately, after being placed with his new family, he was able to catch up on a lot, which has allowed him to develop into a wonderful, albeit cautious, companion.


On the leash, he knows full well that other two- and four-legged creatures are of no interest and is not easily unsettled. Even walks with other shelter residents are no problem for this big man - it is only when they live directly together on the shelter grounds that his stoic livestock guardian becomes apparent again. Bumi can happily do without other dogs in the rest of his everyday life and prefers to spend time on his own rather than sharing the attention of his caregivers, basket, or food. In the past, Bumi has shown that he would particularly defend food and chews from other dogs or children, which is why we would rather see him in a quiet household without other dogs and children.
Bumi longs for a new home where he can settle in and blossom again. Regular exercise would help not only his soul but also his body to stay healthy. Unfortunately, Bumi was diagnosed with hip dysplasia – a deformity of the hip that unfortunately affects many dogs these days. The deformation of the hip joint cannot be reversed, but with the help of targeted exercise, muscle building, and physiotherapy, dogs can be supported so that they can walk pain-free for as long as possible and the problems do not worsen. Since Bumi loves to splash around, especially in warm weather, a swim or two would be a good idea in addition to walks to give him some exercise.","Wailandtstraße 15, 63741 Aschaffenburg, Deutschland",Tierheim Aschaffenburg
Kiez,Labrador Mix,"3 years",Female,"Young Kiez has experienced quite a bit of turmoil and instability in the past. Even as a puppy, Kiez's life started turbulently, because while most puppies go to their new families alone, she embarked on a big journey with a sibling. For the two of them, it was constant partying. They could run wild with their playful antics, and training or learning to be calm steadily took a backseat. Spurred on by her peer, Kiez lived only for forwards – higher, faster, further – until all the commotion at home became too much for everyone when the two-legged members of her family's circumstances changed.
Well-intentioned, but unfortunately very impulsive and lacking in planning, Kiez was sent to live with acquaintances to spare her a stop at the animal shelter. Within a day, the offer of help turned into her own cry for help, because the bundle of energy, for whom stability and boundaries had always been foreign concepts, quickly became overwhelmed in her new environment. Since she was only ever known for her cheerful, playful nature, she was thrown straight into the thick of things, skipping over the crucial settling-in period. This ultimately led to Kiez completely losing it. Within a single day, everyone had the opportunity to interact with Kiez's teeth if she didn't know how to gracefully extricate herself from an exciting situation. And her motto remained ""only forward,"" meaning there was no going back to her first home. With a dog who was now not only hyperactive but had even bitten someone, suddenly no one wanted to take responsibility anymore, and so she inevitably ended up at our animal shelter. Here, Kiez can finally take a deep breath so we can address the root of the problems, because Kiez is by no means a dangerous or malicious dog. This motivated Labrador retriever gets excited easily and would do almost anything for a treat. Seemingly well-behaved, but behind the funny facade lies not true training, but rather a kind of dressage. Sit, stay, go on the blanket, or walk backward – none of that is a problem. Simply doing nothing, relaxing, calming down, or not being the center of attention is much more appealing. It's easy to be tempted to push her further, because the pretty little thing is undeniably cute. Kiez has a lot to process and is learning to accept boundaries for the first time; it's all very stressful, and for such energetic dogs, it's a far better form of exercise than any obstacle course. Currently, we often have to manage her in everyday life until Kiez is ready in training to do it independently. The training process is certainly frustrating for both human and dog, but it's essential for a relaxed future for everyone. Gradually, the penny drops, and Kiez is able to remain increasingly calm even in tense situations. It's certainly still a long way to the relaxed ""picture-perfect Labrador,"" but we are confident that with appropriate guidance, we can steer the young lady toward becoming a suitable everyday companion. You reap what you sow, and so the focus will now be on planting the delicate seeds of frustration tolerance and impulse control.","Wailandtstraße 15, 63741 Aschaffenburg, Deutschland",Tierheim Aschaffenburg
Nokart,Französische Bulldogge,"8 years",Male,"Nokart has been found. He is a personable, lively, and very self-confident fellow. He knows basic commands and is house-trained. When out for walks, he calmly lets himself be led past other dogs.
At our veterinary practice, he will receive free lifelong treatment for his musculoskeletal system because he has problems walking. He also has a condition called megaesophagus (enlargement of the esophagus), which prevents food from being transported properly to the stomach. Therefore, he must be fed while standing almost vertically, otherwise he will vomit his food. We have found a good solution for this and are happy to advise you. He will receive free lifelong treatment for this and his arthritis at our veterinary practice.
Nokart does not cope well with frustration. As a result, he quickly becomes angry and tries to snap or bite the leash. He is looking for people with experience with this breed. Although he can live in the city, he needs a very quiet, single-story home without children. He can no longer climb stairs. Whether he is suitable as a second dog needs to be tested.
If you would like to meet Nokart or have any questions about him, please contact his animal caretakers at +49 30 76888-220 or fill out the form below. Please plan several visits to the shelter to get to know him in peace. We look forward to hearing from you.","Hausvaterweg 39, 13057 Berlin, Germany",Tierheim Berlin
Moxy,Australian Shepherd,"9 years",Female,"The pretty Australian Shepherd Moxy found her way to us via another animal welfare organization. At first, she was rather reserved and shy around us keepers. She had to settle in and get used to her new surroundings.
Winning Moxy over is quite a lot of work. Her ice is very thick, and it takes a lot of patience and nerve to melt it. Until then, Moxy is skeptical of her counterpart and sets clear rules. These, of course, tend to be in her favor and are enforced, if necessary with the help of her 42 augments. But she's worth it! Every milestone, sometimes hard work, reveals a new, endearing facet of this pretty Aussie lady. Once she's gained trust in her humans, she's open and enthusiastic, loves to be cuddled and have fun together.


Overall, with Moxy, it's important to always stay on track - even if she's just letting go. All this effort will surely cost her a few gray hairs, but it's worth it. Moxy is excited about her new phase of life and will bring this joy into her two-legged friends' everyday lives.","Wailandtstraße 15, 63741 Aschaffenburg, Deutschland",Tierheim Aschaffenburg
Woody,Mischling,"4 years",Male,"Woody came to us when his life path was leading him in the wrong direction. If the necessary upbringing is neglected at a young age, it can take its toll later in life - as was the case with this charming Romanian. He knows how to use his big eyes to his advantage and he also finds a way to get his way. If an endearing look and witty antics aren't enough to avoid possible consequences, he uses his entire repertoire of threatening gestures and also knows how to deploy his 42 sparkling white arguments.
In general, Woody sees himself more in the position of referee than in the role of player. Just because he doesn't want to follow the rules himself doesn't mean that his humans don't have to. He hands out yellow and red cards as he sees fit. To underline this position, he has claimed all kinds of resources for himself in the past. From his own food to his owner's food and bed. Woody deliberately seeks out such conflicts in order to test his boundaries again or to redefine them.
Of course, this high-flying lifestyle cannot continue – the little king is fully aware of this – which is why a lot of training is now on the agenda. Such a difficult and responsible task doesn't really suit him. The young male has bright, relaxed, and eager-to-learn sides, but he can only fully develop these sides once the burden of having to control everything at all times is lifted from his shoulders. To achieve this, he is now undergoing the unpopular and labor-intensive training.
The little man is searching for his place in society. And for a human partner who will accept the odd gray hair until he achieves success. Throughout his life, Woody has succeeded in making progress with sustainability and stubbornness. It'll take a while to rewrite this success story. Two steps forward, one step back – and yet progress has already been made. Now all that's missing is the right home, where we're ready to continue the training and show Woody how relaxed and fun the world can be when he lets himself get involved.","Wailandtstraße 15, 63741 Aschaffenburg, Deutschland",Tierheim Aschaffenburg
Mads,Staffordshire-Bulldog-Mix,"7 years",Male,"Hello, I'm Mads. I always try very hard to please my owners. Unfortunately, new situations scare me a lot, and I need a lot of encouragement. I'm very people-oriented anyway, especially if I know them well. Then I love to be cuddled – I can sometimes get a little boisterous out of sheer joy. I'm a bit skeptical of men for a long time. I take women much more quickly.
I ended up in the animal shelter because something really stupid happened. When I get food in my bowl, I don't recognize anything anymore. I guess that's called ""resource guarding."" And then I bit the other dog. When my previous owner tried to intervene, I unfortunately caught her too. If my bowl is empty, I don't have any problems at all. I also accept treats without any problems, and I'd gladly give them lots and lots again and again!
It would probably be good if my new owners knew about dogs – including my breed. And a good feeding plan would help ensure that something bad like this never happens again. That's why I'm better off being kept alone, even though I actually really love dogs. There shouldn't be any children in my home either. Better safe than sorry. The city could definitely be something for me. Since I'm one of the so-called ""listed dogs,"" you definitely need a landlord's permit.
Phew—that's a lot of everything. Is there anyone who'd still like to get to know me? That would be great! The best way to find out is to call my animal caretakers","Hausvaterweg 39, 13057 Berlin, Germany",Tierheim Berlin
Ada,Kangal,"6 years",Female,"Ada ist eine wundervolle, ausgeglichene Persönlichkeit und auch optisch ein echter Blickfang. Mit einer Schulterhöhe von ca. 75 cm und einem dennoch schlanken und grazilen Körperbau beweist Ada, wie elegant ein Herdenschützer sein kann.
Die „Arbeitsweise“ hingegen wirft ein ganz anderes Licht auf die sonst so zarte Riesin. Typisch Kangal hat sie immer ein Auge auf alles, was vor ihrem Gehege oder der anderen Seite des Gartenzauns los ist. Wenn nötig, werden ungebetene Beobachter durch tiefes Bellen und ordentlich Radau aus ihrem Zuständigkeitsbereich verwiesen. Auch andere Hunde dürfen sich was anhören, wenn Ada in Pöbel-Laune ist. Natürlich liegt dies tief in ihrer Genetik verankert – was jedoch keine Ausrede sein darf, um mangelnde Erziehung zu rechtfertigen.



","Wailandtstraße 15, 63741 Aschaffenburg, Deutschland",Tierheim Aschaffenburg
Woody,Riesenschnauzer-Mix,"13 years",Male,"Our Woody came to the animal shelter because he is very jealous of food, and unfortunately, this bad habit led to a bite incident in his previous home. He is looking for people with experience with dogs who can address his behavior and with whom he can be his only prince.
Woody knows the common basic commands, rides on the bus/train, and can even be left alone for a few hours. He has lived with cats before—but outside, he tends to chase them, as well as other small animals and game. He is often suspicious, especially of strange men. He also dislikes loud, hectic children.
We hope for a committed, loving home for Woody with people who have experience with more difficult dogs. To get to know him, interested parties should plan several visits.
If you are interested or have any questions, please contact Woody's animal caretakers at +49 30 76 888-220. We look forward to hearing from you.","Hausvaterweg 39, 13057 Berlin, Germany",Tierheim Berlin
Nanuk,Staffordshire-Terrier-Mix,"11 years",Male,"Please note: Nanuk is only suitable for a shelter-like environment. His new home must offer the opportunity to handle him with safety training (we trained him to wear a muzzle and leash without contact). A fence system is therefore necessary where Nanuk can be kept in contact with people, but still shielded from direct confrontation. A kennel (with a heated indoor enclosure) and, ideally, a dog room with outdoor access are ideal for this.
Nanuk came to the shelter after being confiscated. Lack of distance, petting, and being touched in general are not his thing—he likes it when everyone stays in his ""dance zone."" If you respect that, he will gain trust and be able to relax better. He loves being outside with his owner, sniffing the world around him.
Nanuk defends his food, is not a beginner's dog, and prefers owners with experience with the breed who can provide him with clear leadership and spend plenty of time together on outings. He is not suitable for a family with children. Please note that, due to his breed, he is subject to muzzle and leash requirements in Berlin, and a landlord's permit is required for his ownership. He will receive free lifelong treatment for spondylosis at our veterinary practice.
If you would like to give Nanuk a home, please contact his animal caretakers at Idefix-Haus at +49 30 76888-173. Please plan several visits to the shelter so you can get to know him in peace.","Hausvaterweg 39, 13057 Berlin, Germany",Tierheim Berlin
Arion,Arion,"7 years",Male,"Arion is representative of many rescues gone wrong of small ""surprise packages"" in the form of young dogs or ""puppies"" (as they are so often falsely advertised) from Eastern Europe.


But what kind of dog arrived here back then? A large, proud herd protector, aware of his (original) task and, due to a lack of leadership, confidently carrying it out? No, absolutely not. Arion was completely in limbo. If he had learned one thing in his few years, it was that he couldn't rely on anyone, and that no one could give him stability or security. So, although he wasn't able to look after his system himself, he still felt compelled to take on this task.
Today, Arion lets go of the reins with the right people and behaves admirably. Relaxed cuddles or going for a walk are perfectly possible. Dogs and passersby are ignored, the leash is slack, and the dog trots relaxedly next to, behind, or sometimes in front of the owner, depending on the command. Of course, he is not an enthusiastic herding dog, but the herd protector still wants to please. Arion knows who he can rely on, but he also knows who he cannot rely on, who doesn't have the right charisma. Here, he quickly falls back into old patterns. Dogs and passersby are attacked, and it quickly becomes dangerous for the person at the other end of the leash.","Wailandtstraße 15, 63741 Aschaffenburg, Deutschland",Tierheim Aschaffenburg
Buddy,Mischling,"2 years",Male,"Buddy was given to us because his previous owners' living conditions didn't suit his needs.


When Buddy gets stressed, he tends to bark. In his previous home, this led to Buddy barking in many situations outside, especially when he encountered other dogs. Even leaving him alone at home wasn't possible, as Buddy would protest loudly.
At our animal shelter, the picture is somewhat different. Of course, there are situations in which Buddy barks, but overall, Buddy is very easy to lead by his caregivers. He has completely stopped barking when meeting other dogs and is otherwise very well-oriented and cooperative. He enjoys long walks and is a very active dog who needs plenty of exercise but also wants to be mentally challenged.","Eichholz, 70794 Filderstadt, Germany",Tierschutzverein Tierfreunde Filderstadt e.V.
Kiko,Schäferhund-Mix,"4 years",Male,"Kiko has been found. This people-oriented and very lively male is house-trained, knows basic commands, and can be calmly led past other dogs. However, he is also unruly and still likes to jump up at people. The owner at the other end of the leash should therefore be able to hold the large and strong Kiko, who weighs 36 kg. Attending dog training school is important for him. He is not yet able to be left alone at all – that will require a lot of training and patience.
For Kiko, we are looking for dog-experienced, athletic people in a household without children. He can certainly also move in as a second dog – it's a matter of mutual understanding between the dogs.
If you would like to meet Kiko, please contact his animal care team at +49 30 76888-264 or fill out the form below. We look forward to your inquiry.","Hausvaterweg 39, 13057 Berlin, Germany",Tierheim Berlin
Gracie,Deutsch Kurzhaar,"5 years",Female,"Female Gracie
Age: 5 years (born March 16, 2020)
Gender: Female
Gracie and Grando (see last picture, also listed under males) are one and the same, so they should only find a new home together.","Blumenower Straße 3, 16798 Fürstenberg/Havel, Germany",Tierschutzverein OHV e.V.
Charlie,Mischling,"5 years",Male,"Charlie has a very chaotic and insecure past. Fleeing and escaping from frightening situations hasn't always brought him the desired results in his life so far. When initial threats and growling didn't help him, the first biting incident occurred in a confining situation. It wasn't until he got to the animal shelter that he was able to build trust in himself and his two-legged friends, which helps him keep a cool head in many situations.
Diligent training, time, patience, and exposure to many different environmental influences have turned Charlie into a completely new dog. The shadows of his past have increasingly faded, and his insecure self only rarely comes to the fore.
The little Romanian has now become a perfectly plausible everyday companion dog, provided he receives appropriate guidance. Because Charlie now knows his worth and is willing to voice his opinion (even without being asked). If he's given too much freedom on the leash, he'll bark at strange dogs or passersby. If someone nevertheless ventures too close to him, he might respond with his 42 ""arguments."" Unannounced visitors have also experienced this bad mood in the past, which is why such situations still require some management. However, once Charlie has understood his place and that he won't be disturbed by strangers there, he can easily accept these spatial restrictions and withdraw.
From the very beginning, Charlie spent his time at the shelter with other dogs. Initially, the focus was on coaxing the shy guy out of his shell a little with more relaxed companions. In the meantime, however, he's become a solid, socially competent cornerstone for many dog groups for us, too. Sometimes in large, diverse groups, sometimes in shared apartments with two, the Romanian has proven to be a reliable companion. Together, he can make everyday life in the shelter much more colorful, and he can be encouraged to play around, but he can also calm down on his own and communicate when things get too hectic. Therefore, adoption with an existing first-time dog is a good option.","Wailandtstraße 15, 63741 Aschaffenburg, Deutschland",Tierheim Aschaffenburg
Araxa,Malinois,"11 years",Female,"Araxa is truly unique. As a result of an injury, Araxa's lower lip is no longer fully fused, which makes her look very special. However, this minor handicap doesn't bother or affect Araxa at all. Her future owners should simply place a towel next to the water bowl, because drinking with a lip like that isn't quite as elegant.
Araxa, as is typical of the breed, bonds closely with her caregivers. She enjoys going for walks, already has good basic obedience, and can run off-leash. The senior also enjoys small activities.

","Eichholz, 70794 Filderstadt, Germany",Tierschutzverein Tierfreunde Filderstadt e.V.
Tabaluga,Mischling,"5 years",Male,"Tabaluga kam zu uns ins Tierheim, da sich die privaten Umstände in der Familie geändert haben und auch die Suche nach einem Platz im näheren Bekanntenkreis leider erfolglos blieb. Die neue Situation und der Umzug verunsicherten den Mischlingsrüden erst einmal und er wusste nicht so recht, wohin mit sich. Er suchte oft die Nähe zu uns Pfleger:innen und wir gaben ihm den nötigen Halt. Nun darf er in Ruhe bei uns ankommen und sich an die neue Umgebung gewöhnen.
Im Alltag und besonders draußen zeigt er sich aktuell nicht besonders umweltsicher. Er ist zwar grundsätzlich kein unsicherer oder ängstlicher Hund, vieles bereitet ihm aber Sorge. Dass er kein so armer Knopf ist, wie manche Personen zu Beginn denken, zeigt er recht schnell. Denn wenn er eins kann, dann ist es imponieren. Wenn es nach ihm ginge, so wäre kein Baum und kein Grashalm auf der Strecke unmarkiert – zur Sicherheit am besten mehrfach. Kommt es zu frontalen Begegnungen mit Hunden, Fahrradfahrern oder Joggern, verbellt er diese sehr vehement.
Abgesehen davon zeigt Tabaluga beim Spaziergang insgesamt eine solide Grunderziehung. Er läuft gut an der Leine, kennt den Rückruf, an dessen Verbindlichkeit zwar noch gearbeitet werden muss, und orientiert sich in reizarmen Situationen insgesamt gut an seinem Menschen.
Seine Ambivalenz zeigt sich vor allem im Umgang mit anderen Hunden. Steht eine intakte, meinungsstarke Hündin vor ihm, backt Tabaluga sicherheitshalber ganz kleine Brötchen. Dann hält er Abstand, ist höflich und deeskalierend, statt etwas zu riskieren. Hat er aber einen Rüden vor sich, der sich ebenso zurückhaltend verhält, wie er bei einer Hündin, wächst er über sich hinaus – und das nicht auf die gute Weise. Wird er hier nicht gebremst, sucht er den Konflikt. Selbst wenn sein Gegenüber ganz klar zeigt, dass er keinen Streit sucht, sondern sich immer wieder deeskalierend abwendet.","Wailandtstraße 15, 63741 Aschaffenburg, Deutschland",Tierheim Aschaffenburg
Donna,Zwergpinscher,"6 years",Female,"Die kleine Donna kam nach einigem Hin und Her zu uns ins Tierheim und ist nun bereit wieder nach vorne zu sehen, statt sich in der Vergangenheit zu verstecken. Als Welpe aufgenommen, nach der Trennung weiter gereicht, um dann doch nach mehreren Jahren zurück geholt zu werden... Einen konstanten Faden kannte Donnas Leben bisher kaum und das hin und her wurde ihr (und ihren Zweibeinern) schnell zu viel.





","Wailandtstraße 15, 63741 Aschaffenburg, Deutschland",Tierheim Aschaffenburg
Futomaki,Mischling,"13 years",Female,"Hundeomi Futomaki hat plötzlich und unerwartet ihr letztes Zuhause verloren und wartet nun bei uns darauf erneut entdeckt zu werden. 2012 erblickte sie in Kroatien das Licht der Welt und durfte damals gemeinsam mit ihren Zweibeinern die Koffer packen, um nach Deutschland zu ziehen – nun stehen wir ihr an ihrer Seite, um den hoffentlich letzten Umzug ihres Lebens zu ermöglichen.
Die schwarze Mischlingshündin (mit den mittlerweile auch grauen Häärchen) ist auf dem ersten Blick eine eher unscheinbare Hündin. Sicherlich auch dem fortschreitenden Alter geschuldet genießt sie zunehmend die Zeit im Körbchen und fordert neben den ausgiebigen Streicheleinheiten auch ihre Entspannungszeiten ein. Doch gibt es selbst im Leben der Seniorin noch Phasen, in denen man ihr den Schalk im Nacken anmerkt. Wie auch bei den Menschen fehlt ihr ab und an noch das Verständnis für „die Jugend von heute“. Auch, wenn sie den Umgang mit Kindern kennt, sind ihr Roller oder Skateboards nicht ganz so geheuer. Hier verleiht sie ihrem Unverständnis auch mal lautstark Ausdruck und kann Pöbeln, wie man es ihr niemals zugetraut hätte. Zum Glück kehrt nach einer solchen Meinungsäußerung auch genauso schnell wieder Ruhe ein und Futomaki kann den restlichen Gassigang wieder genießen, als wäre nie etwas passiert.

","Wailandtstraße 15, 63741 Aschaffenburg, Deutschland",Tierheim Aschaffenburg
